onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,0.001_r,0.001_t,0.01_r,0.01_t,0.1_r,0.1_t,0.2_r,0.2_t,0.4_r,0.4_t,0.8_r,0.8_t,1.0_r,1.0_t,2.0_r,2.0_t,4.0_r,4.0_t,8.0_r,8.0_t
mnist-net_256x2,prop_10_0.05,random,stable,242,unsat,5.339,unsat,6.8354,unsat,6.8272,unsat,6.6949,unsat,6.6973,unsat,6.8672,unsat,6.8812,unsat,6.8297,unsat,6.8573,unsat,6.8455,unsat,6.7017
mnist-net_256x2,prop_11_0.05,random,stable,248,unsat,4.5567,unsat,5.656,unsat,5.7013,unsat,5.6598,unsat,5.6983,unsat,5.7192,unsat,5.6717,unsat,5.6735,unsat,5.7383,unsat,5.7014,unsat,5.6742
mnist-net_256x2,prop_12_0.05,random,stable,248,sat,0.3612,sat,0.446,sat,0.4282,sat,0.4356,sat,0.4321,sat,0.4527,sat,0.4323,sat,0.4482,sat,0.4519,sat,0.4318,sat,0.4306
mnist-net_256x2,prop_13_0.05,random,stable,251,unsat,3.4469,unsat,3.9518,unsat,3.9451,unsat,3.9684,unsat,3.956,unsat,3.9316,unsat,3.9657,unsat,3.9172,unsat,3.9556,unsat,3.9692,unsat,3.964
mnist-net_256x2,prop_14_0.05,random,stable,246,unsat,4.3212,unsat,5.1586,unsat,5.3151,unsat,5.431,unsat,5.3076,unsat,5.315,unsat,5.2909,unsat,5.3292,unsat,5.3346,unsat,5.3305,unsat,5.3035
mnist-net_256x4,prop_0_0.03,random,stable,230,unsat,1.7188,unsat,7.8449,unsat,7.7526,unsat,7.7467,unsat,7.733,unsat,7.6513,unsat,7.7446,unsat,7.7436,unsat,7.758,unsat,7.7577,unsat,7.7186
mnist-net_256x4,prop_1_0.03,random,stable,225,sat,0.6504,sat,0.7563,sat,0.7299,sat,0.7333,sat,0.7287,sat,0.751,sat,0.7441,sat,0.7359,sat,0.7264,sat,0.7306,sat,0.7371
mnist-net_256x4,prop_2_0.03,random,stable,225,unsat,3.7686,timeout,330,unsat,131.4887,unsat,136.035,unsat,124.6123,unsat,132.2857,unsat,130.6003,unsat,130.4453,unsat,132.8036,unsat,134.3251,unsat,131.034
mnist-net_256x4,prop_3_0.03,random,stable,239,unsat,1.7554,unsat,7.7645,unsat,7.776,unsat,7.9293,unsat,7.6656,unsat,7.8701,unsat,7.7396,unsat,7.8978,unsat,7.8794,unsat,7.9565,unsat,7.899
mnist-net_256x4,prop_4_0.03,random,stable,223,unsat,1.5362,unsat,128.3561,unsat,125.604,unsat,124.9824,unsat,124.3749,unsat,124.4081,unsat,124.5238,unsat,124.0644,unsat,124.584,unsat,125.1344,unsat,124.8223
mnist-net_256x4,prop_5_0.03,random,stable,225,unsat,1.5019,unsat,4.0915,unsat,4.1238,unsat,4.1196,unsat,4.1208,unsat,4.1461,unsat,4.1197,unsat,4.1566,unsat,4.0919,unsat,4.1067,unsat,4.1089
mnist-net_256x4,prop_6_0.03,random,stable,212,unsat,79.7236,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x4,prop_7_0.03,random,stable,235,unsat,1.5085,unsat,118.2586,unsat,88.4008,unsat,89.4107,unsat,90.6521,unsat,88.8083,unsat,89.5605,unsat,90.5804,unsat,88.1982,unsat,88.4589,unsat,89.0772
mnist-net_256x4,prop_8_0.03,random,stable,227,unsat,17.0919,timeout,330,unsat,245.2172,timeout,330,unsat,263.5108,unsat,159.201,unsat,154.7714,unsat,139.3502,unsat,158.5181,unsat,141.4245,unsat,138.5444
mnist-net_256x4,prop_9_0.03,random,stable,233,unsat,1.4917,unsat,128.2315,unsat,121.3885,unsat,121.9136,unsat,121.8698,unsat,121.2008,unsat,122.0639,unsat,121.2081,unsat,120.9818,unsat,120.4176,unsat,120.1741
mnist-net_256x4,prop_10_0.03,random,stable,235,unsat,1.4976,unsat,16.8585,unsat,17.1943,unsat,17.0271,unsat,16.7771,unsat,16.9645,unsat,16.9645,unsat,16.9283,unsat,16.9306,unsat,16.9546,unsat,16.9355
mnist-net_256x4,prop_11_0.03,random,stable,232,unsat,1.5,unsat,6.548,unsat,6.5123,unsat,6.5795,unsat,6.3932,unsat,6.5716,unsat,6.5676,unsat,6.6862,unsat,6.6326,unsat,6.5586,unsat,6.6265
mnist-net_256x4,prop_12_0.03,random,stable,240,unsat,1.4813,unsat,130.9664,unsat,129.8488,unsat,129.5319,unsat,128.0452,unsat,130.0177,unsat,129.6313,unsat,129.8752,unsat,130.2105,unsat,129.305,unsat,130.4461
mnist-net_256x4,prop_13_0.03,random,stable,231,unsat,1.5196,unsat,4.144,unsat,4.1471,unsat,4.1211,unsat,4.0896,unsat,4.1584,unsat,4.1936,unsat,4.1159,unsat,4.1386,unsat,4.1407,unsat,4.1336
mnist-net_256x4,prop_14_0.03,random,stable,233,unsat,1.7268,unsat,4.1672,unsat,4.1733,unsat,4.1884,unsat,4.1426,unsat,4.1544,unsat,4.1761,unsat,4.1761,unsat,4.1585,unsat,4.1882,unsat,4.1794
mnist-net_256x4,prop_0_0.05,random,stable,211,unsat,65.5632,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x4,prop_1_0.05,random,stable,204,sat,0.7061,sat,0.766,sat,0.7354,sat,0.7428,sat,0.7383,sat,0.7567,sat,0.762,sat,0.7419,sat,0.7375,sat,0.7447,sat,0.7329
mnist-net_256x4,prop_2_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mnist-net_256x4,prop_3_0.05,random,stable,223,unsat,10.2698,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,unsat,230.4356,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x4,prop_4_0.05,random,stable,214,unsat,85.0088,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
