onnx, vnnlib, O_0 ,O_1 ,O_2 ,O_3 ,O_4 ,O_res_0 ,O_res_1 ,O_res_2 ,O_res_3 ,O_res_4 ,S_0 ,S_1 ,S_2 ,S_3 ,S_4 ,S_res_0 ,S_res_1 ,S_res_2 ,S_res_3 ,S_res_4 ,B_0 ,B_1 ,B_2 ,B_3 ,B_4 ,B_res_0 ,B_res_1 ,B_res_2 ,B_res_3 ,B_res_4 
ACASXU_run2a_4_5_batch_2000_converted, prop_4, 4.1003,4.0446,4.0867,3.9773,4.1138,unsat,unsat,unsat,unsat,unsat,4.2752,4.2793,4.2768,4.2535,4.2219,unsat,unsat,unsat,unsat,unsat,4.2082,4.2398,4.229,4.218,4.2087,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_4_6_batch_2000_converted, prop_4, 3.9997,3.9428,4.0233,4.0569,4.058,unsat,unsat,unsat,unsat,unsat,4.0082,4.101,4.0558,4.0735,4.0517,unsat,unsat,unsat,unsat,unsat,4.0638,4.0486,4.0494,4.0549,4.0332,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_4_7_batch_2000_converted, prop_4, 4.0868,4.0599,4.1258,4.0552,4.0061,unsat,unsat,unsat,unsat,unsat,4.2766,4.2818,4.2594,4.2809,4.2717,unsat,unsat,unsat,unsat,unsat,4.1962,4.1695,4.2748,4.2795,4.118,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_4_8_batch_2000_converted, prop_4, 4.0285,4.079,4.0643,4.133,4.1327,unsat,unsat,unsat,unsat,unsat,4.3718,4.2807,4.3728,4.4734,4.612,unsat,unsat,unsat,unsat,unsat,4.2405,4.1778,4.2114,4.185,4.2144,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_4_9_batch_2000_converted, prop_4, 4.0996,4.1637,4.0483,4.028,4.0479,unsat,unsat,unsat,unsat,unsat,4.2101,4.2051,4.1334,4.2968,4.044,unsat,unsat,unsat,unsat,unsat,4.1443,4.0609,4.0728,4.0535,4.099,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_5_1_batch_2000_converted, prop_4, 4.0962,4.1736,4.2128,4.1759,4.2385,unsat,unsat,unsat,unsat,unsat,4.5061,4.4793,4.5557,4.4647,4.4913,unsat,unsat,unsat,unsat,unsat,4.4565,4.4867,4.5422,4.5294,4.48,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_5_2_batch_2000_converted, prop_4, 4.0574,4.105,4.0379,3.9487,4.0486,unsat,unsat,unsat,unsat,unsat,4.2263,4.1519,4.2761,4.2191,4.2217,unsat,unsat,unsat,unsat,unsat,4.2133,4.1974,4.0758,4.0783,4.238,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_5_3_batch_2000_converted, prop_4, 4.0363,4.0116,4.0251,4.0492,4.068,unsat,unsat,unsat,unsat,unsat,4.1101,4.1137,4.1063,4.1651,4.2273,unsat,unsat,unsat,unsat,unsat,4.0804,4.1235,4.1283,4.1372,4.1279,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_5_4_batch_2000_converted, prop_4, 4.1139,3.9977,4.0035,4.0217,4.0238,unsat,unsat,unsat,unsat,unsat,4.084,3.9978,4.0638,4.0332,4.1643,unsat,unsat,unsat,unsat,unsat,4.1259,4.072,4.0547,4.0448,4.0789,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_5_5_batch_2000_converted, prop_4, 4.1864,4.2045,4.1574,4.1235,4.2331,unsat,unsat,unsat,unsat,unsat,4.2583,4.2603,4.2606,4.3109,4.2736,unsat,unsat,unsat,unsat,unsat,4.2823,4.2425,4.2236,4.2388,4.2654,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_5_6_batch_2000_converted, prop_4, 4.2188,4.2475,4.3072,4.292,4.2197,unsat,unsat,unsat,unsat,unsat,4.9731,4.7468,4.9605,4.8246,4.8091,unsat,unsat,unsat,unsat,unsat,5.3938,5.4569,5.2595,5.2968,5.3243,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_5_7_batch_2000_converted, prop_4, 4.026,4.0306,4.0242,4.0473,4.0366,unsat,unsat,unsat,unsat,unsat,4.3865,4.2256,4.2155,4.1734,4.1584,unsat,unsat,unsat,unsat,unsat,4.0764,4.0645,4.1366,4.1689,4.1117,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_5_8_batch_2000_converted, prop_4, 4.2117,4.0377,4.2278,4.2135,4.191,unsat,unsat,unsat,unsat,unsat,4.2519,4.3868,4.3825,4.3989,4.3126,unsat,unsat,unsat,unsat,unsat,4.3748,4.2965,4.3329,4.2859,4.3194,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_5_9_batch_2000_converted, prop_4, 4.1049,4.0854,4.0794,4.0401,4.0944,unsat,unsat,unsat,unsat,unsat,4.1434,4.2333,4.1259,4.2319,4.2381,unsat,unsat,unsat,unsat,unsat,4.2554,4.2666,4.3025,4.3248,4.2332,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_1_batch_2000_converted, prop_5, 15.3302,15.4125,15.0651,15.8571,15.0826,unsat,unsat,unsat,unsat,unsat,16.9105,16.4757,16.3535,16.9762,16.7342,unsat,unsat,unsat,unsat,unsat,16.2681,16.7978,16.7991,16.5935,16.9195,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_1_batch_2000_converted, prop_6, 12.9445,12.7201,13.0946,12.4612,12.6517,unsat,unsat,unsat,unsat,unsat,14.6182,14.4483,14.3687,14.5721,17.1889,unsat,unsat,unsat,unsat,unsat,14.0897,13.7241,13.7475,14.2876,14.2035,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_1_9_batch_2000_converted, prop_7, 10.185,10.5019,10.1707,10.0886,10.1863,sat,sat,sat,sat,sat,6.4852,6.2833,6.3378,6.3053,6.1575,sat,sat,sat,sat,sat,6.4207,6.4751,6.3747,6.433,6.3108,sat,sat,sat,sat,sat
ACASXU_run2a_2_9_batch_2000_converted, prop_8, 4.8163,4.6617,2.1793,1.2323,4.8012,sat,sat,sat,sat,sat,4.8202,4.7289,5.1439,4.8317,1.0294,sat,sat,sat,sat,sat,4.8832,1.0633,0.9356,0.8849,4.7716,sat,sat,sat,sat,sat
ACASXU_run2a_3_3_batch_2000_converted, prop_9, 11.0991,11.4028,11.2946,11.4584,11.3436,unsat,unsat,unsat,unsat,unsat,13.8193,15.875,13.6912,14.0809,15.6119,unsat,unsat,unsat,unsat,unsat,13.719,13.2324,13.176,13.4945,13.305,unsat,unsat,unsat,unsat,unsat
ACASXU_run2a_4_5_batch_2000_converted, prop_10, 11.6581,11.3793,11.5134,11.2124,11.5661,unsat,unsat,unsat,unsat,unsat,15.658,15.0776,15.9454,15.3599,15.9311,unsat,unsat,unsat,unsat,unsat,15.8214,15.5605,15.5739,15.4412,15.6887,unsat,unsat,unsat,unsat,unsat
