onnx,vnnlib,result, v1, t1, v2, t2, v3, t3
ACASXU_run2a_4_5_batch_2000_converted,prop_1,unsat,abcrown,3.916332165400187,marabou,20.39,neuralsat,10.137
ACASXU_run2a_3_2_batch_2000_converted,prop_4,unsat,abcrown,3.273374875386556,marabou,0.7356666666666666,neuralsat,5.200500000000001
ACASXU_run2a_3_3_batch_2000_converted,prop_3,unsat,abcrown,3.2836034297943115,marabou,0.9346666666666668,neuralsat,5.303266666666667
ACASXU_run2a_4_9_batch_2000_converted,prop_3,unsat,abcrown,3.464911381403605,marabou,0.36166666666666664,neuralsat,5.2498
ACASXU_run2a_3_3_batch_2000_converted,prop_4,unsat,abcrown,2.990163723627726,marabou,0.06633333333333334,neuralsat,5.112166666666667
ACASXU_run2a_5_2_batch_2000_converted,prop_3,unsat,abcrown,3.565342744191488,marabou,1.1616666666666666,neuralsat,5.228766666666666
ACASXU_run2a_2_5_batch_2000_converted,prop_3,unsat,abcrown,3.2267295519510903,marabou,0.283,neuralsat,5.080766666666666
ACASXU_run2a_5_6_batch_2000_converted,prop_2,sat,abcrown,1.969048023223877,marabou,0.28,neuralsat,1.6542666666666666
ACASXU_run2a_4_9_batch_2000_converted,prop_4,unsat,abcrown,3.230886697769165,marabou,0.25433333333333336,neuralsat,5.179266666666667
ACASXU_run2a_1_9_batch_2000_converted,prop_1,unsat,abcrown,3.64011017481486,marabou,1.3336666666666668,neuralsat,5.1787
ACASXU_run2a_5_2_batch_2000_converted,prop_4,unsat,abcrown,3.2322963873545327,marabou,0.22733333333333336,neuralsat,5.222266666666666
ACASXU_run2a_2_3_batch_2000_converted,prop_3,unsat,abcrown,3.6019070943196616,marabou,3.6519999999999997,neuralsat,5.890633333333334
ACASXU_run2a_4_3_batch_2000_converted,prop_3,unsat,abcrown,3.8690117994944253,marabou,11.516,neuralsat,5.4243999999999994
ACASXU_run2a_4_5_batch_2000_converted,prop_2,sat,abcrown,1.9495996634165447,marabou,0.411,neuralsat,1.6716333333333333
ACASXU_run2a_4_4_batch_2000_converted,prop_3,unsat,abcrown,3.2441745599110923,marabou,0.1743333333333333,neuralsat,5.101733333333334
ACASXU_run2a_2_3_batch_2000_converted,prop_4,unsat,abcrown,3.112699826558431,marabou,0.36133333333333334,neuralsat,5.1733
ACASXU_run2a_2_7_batch_2000_converted,prop_4,unsat,abcrown,3.2283026377360025,marabou,0.20933333333333334,neuralsat,5.169466666666667
ACASXU_run2a_1_4_batch_2000_converted,prop_1,unsat,abcrown,3.817942221959432,marabou,4.604,neuralsat,10.0073
ACASXU_run2a_3_2_batch_2000_converted,prop_1,unsat,abcrown,3.8756316502889,marabou,5.006666666666667,neuralsat,9.8862
ACASXU_run2a_3_8_batch_2000_converted,prop_2,sat,abcrown,1.9762646357218425,marabou,13.513,neuralsat,1.7739333333333331
ACASXU_run2a_3_5_batch_2000_converted,prop_3,unsat,abcrown,3.1269970734914145,marabou,0.20200000000000004,neuralsat,5.179633333333333
ACASXU_run2a_5_3_batch_2000_converted,prop_3,unsat,abcrown,3.2176074186960855,marabou,0.38933333333333336,neuralsat,5.255199999999999
ACASXU_run2a_3_1_batch_2000_converted,prop_1,unsat,abcrown,3.8582402070363364,marabou,4.490333333333333,neuralsat,5.3853
ACASXU_run2a_5_3_batch_2000_converted,prop_4,unsat,abcrown,3.225377162297567,marabou,0.3073333333333333,neuralsat,5.153966666666666
ACASXU_run2a_3_9_batch_2000_converted,prop_2,sat,abcrown,1.969109296798706,marabou,0.41,neuralsat,1.6706666666666667
ACASXU_run2a_3_4_batch_2000_converted,prop_4,unsat,abcrown,3.1240013440450034,marabou,0.22766666666666668,neuralsat,5.082133333333333
ACASXU_run2a_3_7_batch_2000_converted,prop_4,unsat,abcrown,3.232630968093872,marabou,0.25466666666666665,neuralsat,5.168233333333333
ACASXU_run2a_5_4_batch_2000_converted,prop_1,unsat,abcrown,3.80873696009318,marabou,2.9613333333333336,neuralsat,6.229833333333333
ACASXU_run2a_2_6_batch_2000_converted,prop_3,unsat,abcrown,2.8980579376220703,marabou,0.06733333333333334,neuralsat,5.1081
ACASXU_run2a_5_5_batch_2000_converted,prop_2,sat,abcrown,1.9607776800791423,marabou,3.8906666666666667,neuralsat,1.6693333333333333
ACASXU_run2a_1_3_batch_2000_converted,prop_2,sat,abcrown,3.5689546267191568,marabou,1.7356666666666667,neuralsat,6.319566666666667
ACASXU_run2a_5_7_batch_2000_converted,prop_3,unsat,abcrown,2.986520528793335,marabou,0.067,neuralsat,5.0273
ACASXU_run2a_2_6_batch_2000_converted,prop_4,unsat,abcrown,3.2379890282948813,marabou,0.33466666666666667,neuralsat,5.2848999999999995
ACASXU_run2a_1_6_batch_2000_converted,prop_3,unsat,abcrown,2.8941049575805664,marabou,0.067,neuralsat,5.121933333333334
ACASXU_run2a_5_1_batch_2000_converted,prop_2,sat,abcrown,1.9731939633687336,marabou,0.2786666666666667,neuralsat,1.7224000000000002
ACASXU_run2a_5_7_batch_2000_converted,prop_4,unsat,abcrown,2.994958480199178,marabou,0.06666666666666667,neuralsat,5.119166666666667
ACASXU_run2a_1_1_batch_2000_converted,prop_4,unsat,abcrown,4.444183826446533,marabou,41.696,neuralsat,5.3031
ACASXU_run2a_1_6_batch_2000_converted,prop_4,unsat,abcrown,3.0986011823018393,marabou,0.654,neuralsat,5.148333333333333
ACASXU_run2a_5_2_batch_2000_converted,prop_2,sat,abcrown,1.9714686870574951,marabou,3.0980000000000003,neuralsat,1.6823666666666668
ACASXU_run2a_4_2_batch_2000_converted,prop_1,unsat,abcrown,3.758342742919922,marabou,4.506666666666667,neuralsat,5.6741
ACASXU_run2a_2_5_batch_2000_converted,prop_2,sat,abcrown,1.9644638697306316,marabou,0.35799999999999993,neuralsat,1.6719333333333335
